node,longitude,latitude,centrality_score,road_diversity,major_road_access,combined_score
start_1078189875,76.8502914,28.2583158,3,1,0,1.8
start_1078986679,76.8498399,28.2633806,3,1,0,1.8
start_1081671565,76.8291337,28.2619768,3,1,0,1.8
end_164583896,76.6382239,28.2400868,1,1,1,1.0
start_152852291,76.8335595,28.2658993,1,1,0,0.8
start_1076795760,76.6270144,28.2559744,1,1,0,0.8
end_1076495970,76.5138845,28.2796774,1,1,0,0.8
start_1076516735,76.5123814,28.2742559,1,1,0,0.8
start_1077867071,76.6770181,28.2418566,1,1,0,0.8
end_1075771810,76.5832654,28.247078,1,1,0,0.8
start_1075679187,76.6017672,28.2411969,1,1,0,0.8
end_1075961613,76.5850099,28.2607586,1,1,0,0.8
start_162218495,76.5134903,28.2472949,1,1,0,0.8
start_164583928,76.6086779,28.2400031,0,1,1,0.5
end_164583928,76.610304,28.2512033,0,1,1,0.5
end_162031824,76.5000341,28.2493566,0,1,1,0.5
start_169591692,76.8802348,28.2799195,0,1,1,0.5
end_169591692,76.899637,28.2715429,0,1,1,0.5
start_315647806,76.6127929,28.2697104,0,1,1,0.5
end_315647806,76.6136295,28.2799324,0,1,1,0.5
